,Id,SalePrice
0,17179869247,140000
1,17179869551,140000
2,25769804448,165400
3,17179869708,230000
4,17179869252,140000
5,25769804056,140000
6,17179869895,140000
7,25769803899,140000
8,25769804372,140000
9,25769804458,35311
10,25769804174,275000
11,17179869381,140000
12,17179869392,230000
13,25769804214,230000
14,25769804241,260000
15,17179869818,140000
16,17179869848,140000
17,25769804150,230000
18,25769803901,140000
19,25769803829,140000
20,25769803969,230000
21,17179869851,140000
22,17179869565,140000
23,25769804033,230000
24,25769804466,140000
25,17179869824,140000
26,25769804321,140000
27,17179869326,140000
28,25769803990,140000
29,17179869268,140000
30,17179869696,230000
31,25769804207,140000
32,17179869608,250000
33,17179869697,250000
34,25769804031,140000
35,17179869857,140000
36,17179869620,140000
37,25769804471,140000
38,25769803989,140000
39,17179869491,145000
40,17179869296,165400
41,25769804439,250000
42,25769804120,230000
43,25769804217,250000
44,17179869886,250000
45,25769804197,140000
46,25769804311,140000
47,25769804222,250000
48,25769804014,235000
49,17179869513,140000
50,25769804258,230000
51,17179869610,230000
52,17179869589,230000
53,17179869809,140000
54,17179869546,140000
55,25769804229,140000
56,25769804422,230000
57,17179869706,230000
58,25769803851,140000
59,25769803850,230000
60,25769804246,250000
61,17179869816,140000
62,25769804391,140000
63,17179869232,140000
64,25769803794,230000
65,17179869559,140000
66,25769804435,230000
67,17179869357,140000
68,17179869689,230000
69,25769804218,250000
70,17179869317,140000
71,25769804499,140000
72,25769804227,140000
73,17179869244,140000
74,25769803832,140000
75,17179869434,250000
76,17179869607,230000
77,25769803906,230000
78,25769803882,250000
79,25769804117,230000
80,25769803988,140000
81,17179869195,145000
82,25769804320,140000
83,17179869869,140000
84,17179869483,140000
85,25769804398,140000
86,17179869443,230000
87,25769804243,250000
88,25769804052,140000
89,25769804151,140000
90,17179869636,145000
91,17179869571,39300
92,25769804005,140000
93,25769804153,145000
94,25769803865,140000
95,25769803968,250000
96,17179869442,250000
97,25769804299,230000
98,25769804418,140000
99,17179869763,230000
100,25769803873,250000
101,25769804327,140000
102,25769804055,140000
103,17179869822,35311
104,17179869780,140000
105,17179869853,140000
106,25769803790,140000
107,17179869739,140000
108,17179869257,140000
109,25769804256,250000
110,25769803915,140000
111,25769804078,140000
112,25769804122,230000
113,25769804352,140000
114,17179869840,145000
115,25769803910,250000
116,25769804505,230000
117,17179869230,239000
118,17179869461,250000
119,25769804221,140000
120,25769804194,140000
121,25769804338,242000
122,17179869705,230000
123,17179869367,230000
124,25769804100,260000
125,25769804274,250000
126,25769804419,230000
127,17179869405,250000
128,17179869644,250000
129,17179869603,140000
130,25769804105,230000
131,17179869540,140000
132,17179869790,140000
133,25769803985,140000
134,17179869494,140000
135,17179869549,140000
136,25769803940,140000
137,25769804272,230000
138,17179869337,140000
139,17179869701,250000
140,25769804029,140000
141,17179869444,230000
142,17179869441,140000
143,25769804267,250000
144,25769803792,140000
145,25769804053,230000
146,17179869776,145000
147,17179869517,140000
148,25769804017,140000
149,17179869656,140000
150,17179869852,140000
151,17179869703,250000
152,17179869799,140000
153,17179869196,140000
154,17179869865,140000
155,17179869742,140000
156,17179869891,140000
157,25769804254,230000
158,25769803827,140000
159,25769804223,230000
160,17179869318,140000
161,17179869815,140000
162,25769804369,140000
163,25769804118,230000
164,25769803914,230000
165,25769803806,140000
166,25769804455,140000
167,17179869907,145000
168,25769803825,140000
169,17179869665,140000
170,25769803822,230000
171,17179869436,250000
172,25769804182,230000
173,25769804483,140000
174,25769804136,198500
175,17179869587,230000
176,25769804459,140000
